reportDate	color	count
2018-09-30	1200_green	16900
2018-09-30	1600_blue	5794
2018-09-30	2100_orange	1061
2018-09-30	1400_cyan	11870
2018-09-30	0000_gray	7792
2018-12-30	total	52335
2018-12-30	1900_violet	1922
2018-12-30	2600_red	354
2018-12-30	1200_green	19839
2018-12-30	1600_blue	6638
2018-12-30	2100_orange	1277
2018-12-30	1400_cyan	13808
2018-12-30	0000_gray	8497
2019-03-30	total	54869
2019-03-30	1900_violet	2014
2019-03-30	2600_red	358
2019-03-30	1200_green	20953
2019-03-30	1600_blue	7195
2019-03-30	2100_orange	1397
2019-03-30	1400_cyan	13856
2019-03-30	0000_gray	9096
2019-06-30	total	54993
2019-06-30	1900_violet	1965
2019-06-30	2600_red	351
2019-06-30	1200_green	20807
2019-06-30	1600_blue	7357
2019-06-30	2100_orange	1436
2019-06-30	1400_cyan	12901
2019-06-30	0000_gray	10176
2019-09-30	total	59849
2019-09-30	1900_violet	2118
2019-09-30	2600_red	382
2019-09-30	1200_green	23020
2019-09-30	1600_blue	7599
2019-09-30	2100_orange	1554
2019-09-30	1400_cyan	14238
2019-09-30	0000_gray	10938
2019-12-30	total	68560
2019-12-30	1900_violet	2509
2019-12-30	2600_red	444
2019-12-30	1200_green	26792
2019-12-30	1600_blue	8558
2019-12-30	2100_orange	1582
2019-12-30	1400_cyan	16222
2019-12-30	0000_gray	12453
2020-03-30	total	76784
2020-03-30	1900_violet	2650
2020-03-30	2600_red	502
2020-03-30	1200_green	30735
2020-03-30	1600_blue	9721
2020-03-30	2100_orange	1783
2020-03-30	1400_cyan	16875
2020-03-30	0000_gray	14518
2020-06-30	total	95717
2020-06-30	1900_violet	3047
2020-06-30	2600_red	517
2020-06-30	1200_green	30284
2020-06-30	1600_blue	11063
2020-06-30	2100_orange	2638
2020-06-30	1400_cyan	15470
2020-06-30	0000_gray	32698
2020-09-30	total	102608
2020-09-30	1900_violet	3222
2020-09-30	2600_red	555
2020-09-30	1200_green	22667
2020-09-30	1600_blue	10165
2020-09-30	2100_orange	2619
2020-09-30	1400_cyan	12289
2020-09-30	0000_gray	51091
2020-12-30	total	97300
2020-12-30	1900_violet	2877
2020-12-30	2600_red	660
2020-12-30	1200_green	15302
2020-12-30	1600_blue	8509
2020-12-30	2100_orange	2385
2020-12-30	1400_cyan	9295
2020-12-30	0000_gray	58272
2021-03-30	total	93621
2021-03-30	1900_violet	2575
2021-03-30	2600_red	657
2021-03-30	1200_green	13237
2021-03-30	1600_blue	7499
2021-03-30	2100_orange	2359
2021-03-30	1400_cyan	8260
2021-03-30	0000_gray	59034
2021-06-30	total	97694
2021-06-30	1900_violet	2386
2021-06-30	2600_red	620
2021-06-30	1200_green	12688
2021-06-30	1600_blue	7401
2021-06-30	2100_orange	2122
2021-06-30	1400_cyan	8197
2021-06-30	0000_gray	64280
2021-09-30	total	103559
2021-09-30	1900_violet	2283
2021-09-30	2600_red	675
2021-09-30	1200_green	12726
2021-09-30	1600_blue	7329
2021-09-30	2100_orange	2019
2021-09-30	1400_cyan	8289
2021-09-30	0000_gray	70238
2021-12-30	total	108078
2021-12-30	1900_violet	2237
2021-12-30	2600_red	720
2021-12-30	1200_green	13362
2021-12-30	1600_blue	7368
2021-12-30	2100_orange	2009
2021-12-30	1400_cyan	8554
2021-12-30	0000_gray	73828
2022-03-11	total	108377
2022-03-11	1900_violet	2161
2022-03-11	2600_red	682
2022-03-11	1200_green	12719
2022-03-11	1600_blue	6995
2022-03-11	2100_orange	1978
2022-03-11	1400_cyan	8344
2022-03-11	0000_gray	75498
